module,model,field,type,pk,unique,unique_group,nullable,default,onupdate,fk,backref,back_populates,create,update,indb,test_default
user,user,id,Integer,y,,,n,,,,,,,,,
,,ten_id,Integer,,,,n,,,,,,,,,
,,username,String,,y,,y,,,,,,,,,
,,avatar,String,,,,,,,,,,,,,
,,fullname,String,,,,n,,,,,,,,,
,,role,String,,,,,,,,,,,,,
,,status,String,,,,,,,,,,,,,
,,company,String,,,,,,,,,,,,,
,,profile,String,,,,,,,,,,,,,
,,password_status,String,,,,,,,,,,,,,
,,authtoken,String,,,,,,,,,,,,,
,,email,String,,,,,,,,,,,,,
,,phone,String,,,,,,,,,,,,,
,,created_on,DateTime,,,,,utcnow,,,,,,,,
,,created_by,Integer,,,,n,,,,,,,,,
,user_logs,id,Integer,y,,,n,,,,,,,,,
,,ten_id,Integer,,,,n,,,,,,,,,
,,user_id,Integer,,,,,,,user.id,,user_logs,,,,
,,action_name,String,,,,,,,,,,,,,
,,action_time,DateTime,,,,,utcnow,,,,,,,,
loans,loan_product,id,Integer,y,,,n,,,,,,,,,
,,name,String,,,,,,,,,,,,,
,,description,String,,,,,,,,,,,,,
,,amount,Float,,,,,,,,,,,,,
,,interest_rate,Float,,,,,,,,,,,,,
,,interest_amount,Float,,,,,,,,,,,,,
,,frequency,String,,,,,,,,,,,,,
,,guarantors,Integer,,,,,,,,,,,,,
,,guarantee_multi_loans,Boolean,,,,,,,,,,,,,
,,guarantor_max_liability,Float,,,,,,,,,,,,,
,,guarantee_above_savings,Boolean,,,,,,,,,,,,,
,,savings_ratio,Float,,,,,,,,,,,,,
,,savings_product,String,,,,,,,,,,,,,
,,allow_outstanding,Boolean,,,,,,,,,,,,,
,,created_on,DateTime,,,,,utcnow,,,,,,,,
,,created_by,Integer,,,,,,,user.id,,,,,,
,loan_application,id,Integer,y,,,n,,,,,,,,,
,,loan_product_id,Integer,,,,n,,,loan_product.id,,,,,,
,,loan_acount_id,Integer,,,,n,,,customer_account.id,,,,,,
,,loan_amount,Float,,,,n,,,,,,,,,
,,interest_rate,Float,,,,n,,,,,,,,,
,,interest_amount,Float,,,,n,,,,,,,,,
,,frequency,String,,,,n,,,,,,,,,
,,installments,Integer,,,,n,,,,,,,,,
,,purpose,String,,,,,,,,,,,,,
,,created_on,DateTime,,,,,utcnow,,,,,,,,
,,created_by,Integer,,,,,,,user.id,,,,,,
,guarantee,id,Integer,y,,,n,,,,,,,,,
,,loan_id,Integer,,,,n,,,loan_application.id,,,,,,
,,loan_account_id,String,,,,,,,,,,,,,
,,guarantor_id,Integer,,,,n,,,customers.id,,,,,,
,,guarantee_amount,Float,,,,,,,,,,,,,
,,approved,Boolean,,,,,,,,,,,,,
,,approved_by,Integer,,,,,,,user.id,,,,,,
,,approved_on,DateTime,,,,,,,,,,,,,
,,created_on,DateTime,,,,,utcnow,,,,,,,,
,,created_by,Integer,,,,,,,user.id,,,,,,
,loan_history,id,Integer,y,,,n,,,,,,,,,
,,loan_id,Integer,,,,n,,,loan_application.id,,,,,,
,,action,String,,,,,,,,,,,,,
,,date,DateTime,,,,,,,,,,,,,
,,naration,String,,,,,,,,,,,,,
,,status,String,,,,,,,,,,,,,
,,created_on,DateTime,,,,,utcnow,,,,,,,,
,,created_by,Integer,,,,,,,user.id,,,,,,
,loan_schedule,id,Integer,y,,,n,,,,,,,,,
,,loan_id,Integer,,,,n,,,loan_application.id,,,,,,
,,loan_account_id,String,,,,,,,,,,,,,
,,due_date,DateTime,,,,,,,,,,,,,
,,interest_due,Float,,,,,,,,,,,,,
,,principal_due,Float,,,,,,,,,,,,,
,,fees_due,Float,,,,,,,,,,,,,
,,interest_paid,Float,,,,,,,,,,,,,
,,principal_paid,Float,,,,,,,,,,,,,
,,fees_paid,Float,,,,,,,,,,,,,
,,interest_balance,Float,,,,,,,,,,,,,
,,principal_balance,Float,,,,,,,,,,,,,
,,fees_balance,Float,,,,,,,,,,,,,
,,created_on,DateTime,,,,,utcnow,,,,,,,,
,,created_by,Integer,,,,,,,user.id,,,,,,
,loan_transactions,id,Integer,y,,,n,,,,,,,,,
,,loan_id,Integer,,,,n,,,loan_application.id,,,,,,
,,loan_account_id,String,,,,,,,,,,,,,
,,transaction_type,String,,,,,,,,,,,,,
,,narration,String,,,,,,,,,,,,,
,,amount,Float,,,,,,,,,,,,,
,,principal,Float,,,,,,,,,,,,,
,,interest,Float,,,,,,,,,,,,,
,,fees,Float,,,,,,,,,,,,,
,,principal_paid,Float,,,,,,,,,,,,,
,,interest_paid,Float,,,,,,,,,,,,,
,,fees_paid,Float,,,,,,,,,,,,,
,,date,DateTime,,,,,,,,,,,,,
,,created_on,DateTime,,,,,utcnow,,,,,,,,
,,created_by,Integer,,,,,,,user.id,,,,,,
